File_index,Function,Line,Variable,out_xor,out_xor_relative,diffnormr,outcome,bit
161916,FFT1DOnce,878,x1,0.25,0.14702867073435932,2.558e-13,Masked,49
165261,Reverse,832,x,-0.5161059412938213,0.9375000000000001,0.0,Masked,53
482397,Reverse,832,x,-188.25982867027014,-15.000000000000002,1.137e-13,Masked,53
466635,FFT1DOnce,875,x2,-0.125,0.012287321326475026,0.0004882812499147,Masked,45
102107,FFT1DOnce,868,omega_c,0.00390625,-0.010207500533323472,0.0,Masked,45
256606,Transpose,804,dest,-0.1777537921151833,1.0,0.0,Masked,57
447470,FFT1DOnce,869,x_r,5.801921860141634e+19,1.8446744073709552e+19,149.5986706062381,SDC,57
50462,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57
293503,FFT1DOnce,870,x_c,nan,nan,nan,DUE,61
440588,FFT1DOnce,867,omega_r,0.25,0.25,1.421e-13,Masked,49
153118,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57
251068,Transpose,804,dest,0.5,-0.13375572951464232,2.842e-13,Masked,49
189355,FFT1DOnce,877,x1,0.0078125,0.009945076022312895,5.684e-13,Masked,45
430158,FFT1DOnce,867,omega_r,-0.7071054825112363,1.0,1.137e-13,Masked,57
14783,TwiddleOneCol,712,tx_c,-8.526435819671406,1.0,8.526435819671349,SDC,61
177375,FFT1DOnce,872,tau_c,-9.117532168630982,1.0,4.832e-13,Masked,61
132893,FFT1DOnce,872,tau_c,0.4254682550121185,-0.9375000000000001,2.84e-14,Masked,53
134799,FFT1DOnce,871,tau_r,-7.640319782317821e+307,-inf,nan,DUE,61
252397,Transpose,803,dest,-94.32457034960699,-15.0,8.53e-14,Masked,53
41100,FFT1DOnce,871,tau_r,-0.125,0.13875079454159261,0.1249999999999432,SDC,49
187788,FFT1DOnce,875,x2,-0.5,0.18495416837544829,2.274e-13,Masked,49
6300,Transpose,804,dest,-0.0625,0.13388509434321813,0.0624999999999432,SDC,49
503502,Reverse,832,x,7.820601733611182e+19,1.8446744073709552e+19,221.68797905463867,SDC,57
356923,FFT1DOnce,874,x_c,0.0625,-0.010645478979038843,2.84e-14,Masked,45
374140,FFT1DOnce,870,x_c,2.0,0.23545239663927012,5.116e-13,Masked,49
334591,FFT1DOnce,870,x_c,-2.47780424856651,1.0,3.126e-13,Masked,61
148126,FFT1DOnce,868,omega_c,0.0,0,8.53e-14,Masked,57
60908,FFT1DOnce,873,x_r,0.25,0.15304938915648542,0.2500000000000568,SDC,49
195247,FFT1DOnce,873,x_r,nan,nan,nan,DUE,61
421117,FFT1DOnce,874,x_c,-37.68322811826998,0.9375,2.84e-14,Masked,53
459853,FFT1DOnce,867,omega_r,0.3587696947123342,-0.9375000000000002,8.53e-14,Masked,53
516924,Scale,726,x,-0.125,0.1744313236079223,0.1249999999999147,SDC,49
135900,TwiddleOneCol,710,tomega_c,0.125,-0.18613371414705285,2.84e-14,Masked,49
443070,FFT1DOnce,878,x1,0.0753277749623713,-1.0,8.53e-14,Masked,57
321723,TwiddleOneCol,712,tx_c,-0.125,-0.013348068364856521,1.421e-13,Masked,45
